# TM102 capture — label=buzz-1 port=/dev/cu.usbserial-0001 started=20260826-132616
[CH: 50] LEN: 12 | HEX: F5 77 BE FD FA 70 ED FE 92 9C AF AF | T:381308 RPD:0
[CH: 50] LEN: 12 | HEX: F9 7F 7E FD FA 7B B7 ED 25 1C AF FF | T:381319 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 5E FE EF 70 FE FF 52 9D AA F7 | T:381319 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE FD FD 73 F7 FB 25 1C BF FF | T:381330 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7E FE FE 70 FE FB 92 9E BF FF | T:381342 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BE ED DC 73 DD EF 25 1C AE FE | T:381342 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 6E EE EC 70 FF F5 92 9D AF BF | T:381353 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 FD FD 73 BB DF 25 1C BF 2D | T:381354 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 F6 FF FE 70 FF 7F 92 9D AF FF | T:381365 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 76 FD FD 70 EE FB 92 9D AB FF | T:381376 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 ED DC 73 FB FE 25 1C AF FF | T:381376 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F4 F6 F6 70 FE FF D2 9C AF FD | T:381388 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 6A F9 ED 73 BB EF 25 1C BF DD | T:381388 RPD:0
[CH: 50] LEN: 12 | HEX: ED 77 BC EE F4 70 F6 FD 92 9F BF EE | T:381399 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 EA FD EE 73 FB EB A5 1C AB FA | T:381400 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FE FE FE 70 FE FF 52 9E AF FF | T:381411 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 6A F5 DD 73 BE F5 25 1C AD FF | T:381422 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7A FE F6 70 F5 7D 92 9C AF BF | T:381422 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 7A FD DE 73 DF DF 25 1C AE FF | T:381434 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 F6 F5 FD 73 DF F7 25 1C AB FB | T:381434 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 BE EE EA 70 FD FF 52 9F AF FE | T:381445 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 EE F5 EE 73 FB FD 25 1C BF FD | T:381445 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 76 EE EF 70 FD 7A 92 9D AA FB | T:381457 RPD:1
