# TM102 capture — label=buzz-2 port=/dev/cu.usbserial-0001 started=20260826-133344
[CH: 50] LEN: 12 | HEX: EA 76 F6 E2 76 BD 96 EF 0A 94 BE EF | T:828844 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EA F1 74 F5 96 FD 7A 9A BF FF | T:828874 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 ED 96 FE 8D 95 AB 6A | T:828934 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE EE 63 D5 96 F7 51 70 BF FE | T:828964 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 ED 60 F5 96 FF 64 7E BF BF | T:828993 RPD:0
[CH: 50] LEN: 12 | HEX: FA 6E EC EC 61 FD 96 F7 78 9B B7 ED | T:829023 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 ED 96 FF 4E 62 BE FB | T:829053 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FD EA 67 BD 96 F5 92 87 BD DD | T:829083 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 ED 96 EB D7 89 BF EF | T:829113 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 E6 6B D5 96 FD 56 9C B5 DD | T:829203 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 FD 96 EE FF 6D BF 7F | T:829263 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FC E3 6E FD 96 FF C9 8C BF FE | T:829293 RPD:0
[CH: 50] LEN: 12 | HEX: FA 66 FC E1 6C FB 96 F5 E0 67 3F 6E | T:829353 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 FD 96 FA AD 92 B7 FE | T:829413 RPD:0
[CH: 50] LEN: 12 | HEX: FA 7E F4 FE 73 EB 96 FF CE 8D B7 B9 | T:829443 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FC FD 70 FD 96 F5 7B 83 B7 FF | T:829447 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FC FC 71 FD 96 FD 67 66 BF 7F | T:829451 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE FB 76 FD 96 FD 51 9F 7D F7 | T:829481 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 F4 FA 77 FD 96 FF 8D 7A BF EE | T:829511 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F9 74 F5 96 FF E8 74 BF 66 | T:829541 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FA F8 75 FD 96 F5 24 91 BB FD | T:829571 RPD:0
